#period	period time	calc time
1	2242	999
2	1749	749
3	1500	1746
4	2247	498
5	1246	1003
6	1753	496
7	1246	1010
8	1764	492
9	1235	1000
10	1995	1259
11	2003	749
12	1246	1251
13	1746	749
14	1248	1003
15	1755	747
16	1495	1250
17	2000	1253
18	1748	1000
19	1501	1251
20	1494	1002
21	1754	746
22	1495	1251
23	1749	752
24	2000	1000
25	1746	755
26	1503	997
27	1496	999
28	1753	996
29	1495	1002
30	1747	757
31	1999	750
32	1250	998
33	1746	750
34	1499	1250
35	1749	749
36	1496	1007
37	1998	1000
38	1749	750
39	1249	1501
40	1749	1000
41	1748	500
42	1249	1252
43	1999	1253
44	1748	1247
45	1497	1749
46	1998	1250
47	1748	999
48	1500	1256
49	1500	1250
50	2248	1249
51	1749	1249
52	1750	998
53	1498	1002
54	1502	1246
55	1495	998
56	1747	999
57	2002	1253
58	1745	1001
59	1500	1000
60	1501	1252
61	1497	1000
62	1749	749
63	1502	1746
64	2249	996
65	1495	1000
66	1499	1254
67	1500	998
68	1751	745
69	1499	1500
70	2494	1001
71	1747	500
72	1498	754
73	1500	1002
74	1499	1000
75	1752	997
76	1749	1498
77	1996	1000
78	1499	998
79	1497	1257
80	1500	998
81	1751	999
82	1747	1257
83	2250	998
84	1746	499
85	1499	750
86	1498	1001
87	1499	998
88	1752	996
89	1497	1497
90	1996	1251
91	1499	1250
92	1749	999
93	1498	999
94	1748	1000
95	1497	1250
96	2501	748
97	1495	1000
98	1501	1250
99	1749	1249
100	1498	1001
101	1749	752
102	1501	1497
103	1996	1000
104	1502	1245
105	1744	1003
106	1500	1000
107	1748	749
108	1500	999
109	2247	1250
110	1499	1250
111	1752	1247
112	1748	996
113	1496	1000
114	1499	999
115	1498	1749
116	2748	1249
117	1748	1006
118	1501	1012
119	1753	751
120	1495	1000
121	1497	1754
122	2499	999
123	1496	1253
124	1752	1004
125	1503	998
126	1497	1001
127	1497	999
128	2499	1248
129	1499	1008
130	1745	1004
131	1501	998
132	1494	1249
133	1748	999
134	1500	1751
135	2249	1000
136	1498	1248
137	1756	994
138	1495	996
139	1494	1249
140	1749	1002
141	2251	1497
142	1996	1004
143	1499	1000
144	1748	1000
145	1500	1253
146	1748	999
147	2498	1000
148	1501	999
149	1496	1248
150	1497	1250
151	1748	1253
152	1748	1251
153	1499	1752
154	2248	999
155	1499	1249
156	1749	998
157	1497	1250
158	1748	1000
159	1499	1504
160	2501	998
161	1497	1002
162	1499	1249
163	1748	1263
164	1500	1251
165	1747	1003
166	1499	1749
167	2260	989
168	1487	1250
169	1753	996
170	1495	999
171	1749	750
172	2499	1000
173	1498	1257
174	1752	999
175	1495	1253
176	1749	1004
177	1503	998
178	2245	999
179	1748	1000
180	1752	748
181	1506	996
182	1492	1250
183	1746	503
184	1499	754
185	1998	755
186	1252	998
187	1498	1002
188	1498	749
189	1250	996
190	1494	749
191	1251	1006
192	2499	499
193	1249	999
194	1498	999
195	1498	501
196	1250	1000
197	1496	1000
198	1499	755
199	1501	1499
200	1999	499
201	1248	1001
202	1497	749
203	1499	499
204	1249	998
205	1498	1000
206	2252	996
207	1495	748
208	1248	999
209	1500	998
210	1498	999
211	1499	999
212	1499	999
213	2000	998
214	1497	1000
215	1499	999
216	1500	497
217	1247	1000
218	1499	749
219	1498	750
220	1249	1498
221	1998	1000
222	1502	496
223	1246	748
224	1499	998
225	1498	749
226	1250	998
227	1498	1498
228	1997	1006
229	1500	999
230	1499	999
231	1498	999
232	1499	499
233	1255	743
234	1242	1752
235	2500	499
236	1249	749
237	1499	749
238	1502	746
239	1245	999
240	1498	1001
241	1499	754
242	1999	999
243	1496	499
244	1254	1007
245	1499	743
246	1495	753
247	1247	998
248	1497	999
249	1497	2498
250	3247	998
251	1500	749
252	1508	493
253	1247	1000
254	1499	1001
255	1493	498
256	1496	501
257	1999	498
258	1250	998
259	1504	750
260	1497	496
261	1248	1002
262	1497	1002
263	1754	1499
264	1997	750
265	1499	749
266	1248	999
267	1497	1001
268	1498	496
269	1494	501
270	2001	497
271	1245	1000
272	1500	750
273	1499	499
274	1251	999
275	1498	499
276	1246	1752
277	2250	500
278	1249	999
279	1498	749
280	1251	998
281	1497	999
282	1499	749
283	2248	1250
284	1749	749
285	1499	503
286	1249	999
287	1498	750
288	1499	497
289	1250	1496
290	1999	998
291	1496	999
292	1505	496
293	1495	500
294	1247	1000
295	1500	752
296	2249	1004
297	1502	745
298	1501	496
299	1241	1001
300	1499	1255
301	1754	747
302	1496	1497
303	1996	500
304	1249	750
305	1499	1000
306	1498	499
307	1247	1006
308	1501	1250
309	2247	1001
310	1499	999
311	1502	747
312	1245	1000
313	1499	999
314	1499	499
315	1498	1497
316	1997	502
317	1249	756
318	1502	1000
319	1497	752
320	1254	997
321	1495	1247
322	2246	999
323	1747	500
324	1252	998
325	1498	753
326	1501	498
327	1246	750
328	1501	1498
329	1997	500
330	1247	1000
331	1499	1002
332	1500	504
333	1249	999
334	1499	1001
335	2249	999
336	1498	749
337	1499	499
338	1248	750
339	1503	495
340	1253	996
341	1492	1745
342	2244	1002
343	1502	498
344	1498	499
345	1249	999
346	1498	1000
347	1499	500
348	2249	499
349	1249	999
350	1498	750
351	1249	1001
352	1498	1000
353	1499	498
354	2001	501
355	1254	998
356	1497	998
357	1497	500
358	1244	754
359	1502	498
360	1500	1498
361	1996	999
362	1498	1004
363	1501	500
364	1248	999
365	1498	748
366	1248	1502
367	2499	499
368	1246	998
369	1503	998
370	1496	500
371	1249	1000
372	1499	999
373	1498	1497
374	1996	749
375	1499	500
376	1249	1002
377	1500	997
378	1497	508
