#signal	response time
0	806
1	1434
2	1183
3	957
4	1209
5	928
6	1428
7	1185
8	1182
9	940
10	1184
11	678
12	956
13	944
14	932
15	936
16	929
17	933
18	936
19	938
20	928
21	939
22	927
23	937
24	978
25	934
26	933
27	932
28	1189
29	933
30	1434
31	929
32	1189
33	930
34	680
35	959
36	957
37	931
38	6
39	12
40	7
41	7
42	6
43	6
44	5
45	6
46	6
47	6
48	7
49	6
50	6
51	5
52	5
53	6
54	6
55	7
56	6
57	6
58	6
59	6
60	7
61	6
62	6
63	6
64	5
65	6
66	6
67	8
68	6
69	6
70	6
71	6
72	5
73	6
74	6
75	7
76	7
77	6
78	6
79	6
80	7
81	6
82	6
83	6
84	6
85	6
86	6
87	6
88	4
89	6
90	7
91	6
92	6
93	8
94	7
95	5
96	4
97	5
98	5
99	5
100	6
101	7
102	6
103	6
104	7
105	4
106	4
107	17
108	5
109	7
110	7
111	7
112	6
113	6
114	6
115	6
116	5
117	7
118	6
119	4
120	5
121	7
122	5
123	7
124	6
125	6
126	5
127	6
128	7
129	6
130	4
131	4
132	4
133	4
134	5
135	7
136	11
137	13
138	8
139	6
140	6
141	6
142	7
143	6
144	6
145	7
146	6
147	7
148	6
149	6
150	6
151	6
